iter	Logloss
0	0.6885681296
1	0.6858245081
2	0.6843939972
3	0.6804271227
4	0.6768069768
5	0.6733614033
6	0.6720117728
7	0.6688471319
8	0.6660568865
9	0.6624394863
10	0.6601070475
11	0.658900684
12	0.6556280211
13	0.654046245
14	0.6525371219
15	0.6501672894
16	0.6481115335
17	0.6466373544
18	0.6440895258
19	0.6424134323
20	0.6416643549
21	0.6398886244
22	0.6388684653
23	0.6376745265
24	0.6355544263
25	0.6338575086
26	0.6318407556
27	0.6307593751
28	0.6294412984
29	0.6284930092
30	0.6273338904
31	0.6266846123
32	0.6258287545
33	0.6251332058
34	0.6238494954
35	0.6229403428
36	0.6217205947
37	0.6197859588
38	0.6191426783
39	0.6185403584
40	0.6175206291
41	0.6167523225
42	0.6162483503
43	0.6155603988
44	0.6148760286
45	0.6142124301
46	0.61371733
47	0.6128282614
48	0.6119604993
49	0.6115915952
50	0.6107859091
51	0.6102991129
52	0.6095388953
53	0.6090710801
54	0.6084210284
55	0.6080364143
56	0.6071469685
57	0.60650046
58	0.6053062108
59	0.604638286
60	0.6041342327
61	0.6033280405
62	0.6025497778
63	0.6021822012
64	0.601536896
65	0.6008775234
66	0.600350903
67	0.5999047762
68	0.5990432264
69	0.598315317
70	0.5978355879
71	0.597293224
72	0.5969103481
73	0.5962064764
74	0.5955465642
75	0.5948507291
76	0.5941255988
77	0.5935519294
78	0.5931856277
79	0.5925437893
80	0.5922126609
81	0.591614247
82	0.5911453765
83	0.5904993407
84	0.5901630362
85	0.5899748596
86	0.5897327245
87	0.5894373233
88	0.5886423764
89	0.5884865081
90	0.5880036799
91	0.5875699636
92	0.5870204276
93	0.586460415
94	0.5861390373
95	0.5858410576
96	0.5855476619
97	0.5852365268
98	0.5847714668
99	0.5845152261
