iter	Passed	Remaining
0	204	20206
1	248	12170
2	295	9569
3	332	7976
4	359	6822
5	384	6023
6	412	5478
7	438	5038
8	472	4773
9	502	4519
10	528	4277
11	555	4073
12	580	3884
13	605	3720
14	630	3570
15	655	3439
16	680	3322
17	704	3210
18	731	3117
19	757	3028
20	783	2946
21	807	2862
22	834	2794
23	860	2724
24	896	2690
25	931	2651
26	968	2618
27	1001	2575
28	1038	2541
29	1073	2504
30	1105	2460
31	1130	2402
32	1162	2361
33	1188	2306
34	1212	2252
35	1239	2202
36	1263	2150
37	1292	2109
38	1325	2073
39	1352	2029
40	1378	1983
41	1403	1938
42	1432	1898
43	1456	1854
44	1482	1811
45	1507	1770
46	1533	1729
47	1558	1688
48	1584	1648
49	1609	1609
50	1633	1569
51	1657	1530
52	1685	1494
53	1709	1456
54	1737	1421
55	1763	1385
56	1791	1351
57	1819	1317
58	1845	1282
59	1871	1247
60	1896	1212
61	1924	1179
62	1960	1151
63	1994	1121
64	2028	1092
65	2059	1060
66	2087	1028
67	2112	994
68	2139	961
69	2166	928
70	2191	895
71	2220	863
72	2244	829
73	2269	797
74	2295	765
75	2322	733
76	2359	704
77	2403	678
78	2431	646
79	2460	615
80	2485	583
81	2512	551
82	2538	519
83	2563	488
84	2588	456
85	2617	426
86	2643	394
87	2667	363
88	2693	332
89	2721	302
90	2745	271
91	2771	241
92	2800	210
93	2825	180
94	2849	149
95	2876	119
96	2900	89
97	2924	59
98	2951	29
99	2978	0
